路径,年化收益,5年累计,最大回撤
493,32.60%,309.90%,-19.04%
494,30.76%,282.34%,-9.43%
495,28.03%,244.01%,-25.78%
496,48.68%,626.49%,-7.21%
497,27.65%,238.94%,-17.64%
498,35.65%,359.38%,-25.20%
499,29.27%,260.92%,-22.90%
500,5.00%,27.65%,-26.57%
501,35.89%,363.44%,-16.33%
502,37.03%,383.11%,-9.85%
503,37.13%,384.98%,-14.86%
504,33.52%,324.32%,-19.40%
505,30.09%,272.51%,-24.57%
506,38.28%,405.63%,-9.63%
507,18.86%,137.20%,-35.33%
508,31.04%,286.33%,-17.66%
509,31.20%,288.69%,-23.08%
510,15.71%,107.38%,-21.93%
511,15.38%,104.51%,-27.62%
512,24.45%,198.53%,-20.82%
513,25.64%,213.10%,-18.43%
514,34.82%,345.35%,-13.39%
515,24.95%,204.60%,-17.82%
516,18.27%,131.38%,-17.51%
517,34.87%,346.24%,-16.06%
518,30.43%,277.48%,-21.97%
519,21.65%,166.37%,-11.00%
520,18.37%,132.40%,-22.76%
521,31.78%,297.49%,-17.81%
522,29.27%,261.03%,-26.90%
523,30.08%,272.49%,-15.25%
524,7.08%,40.76%,-29.62%
525,28.68%,252.79%,-20.37%
526,38.34%,406.74%,-14.88%
527,34.24%,335.99%,-11.91%
528,9.67%,58.63%,-28.18%
529,33.28%,320.59%,-10.75%
530,19.03%,138.95%,-13.90%
531,25.23%,207.94%,-19.49%
532,7.85%,45.90%,-37.91%
533,28.66%,252.57%,-26.75%
534,22.89%,180.26%,-23.73%
535,42.95%,496.88%,-9.27%
536,54.43%,778.47%,-11.79%
537,20.31%,152.09%,-31.36%
538,21.20%,161.52%,-16.13%
539,30.13%,273.16%,-10.90%
540,29.54%,264.72%,-16.34%
541,22.67%,177.79%,-17.42%
542,49.05%,635.56%,-12.55%
543,31.52%,293.49%,-13.60%
544,11.75%,74.31%,-18.13%
545,15.37%,104.36%,-23.78%
546,31.28%,289.93%,-29.18%
547,23.67%,189.27%,-29.20%
548,27.31%,234.38%,-26.28%
549,6.41%,36.41%,-20.21%
550,24.72%,201.72%,-15.49%
551,53.98%,765.58%,-11.41%
552,27.17%,232.54%,-23.25%
553,20.31%,152.06%,-15.81%
554,22.01%,170.42%,-20.12%
555,34.82%,345.41%,-24.49%
556,21.97%,169.96%,-10.90%
557,24.68%,201.27%,-12.58%
558,21.98%,170.06%,-11.01%
559,22.04%,170.67%,-26.64%
560,36.68%,377.04%,-11.45%
561,38.11%,402.41%,-10.33%
562,30.43%,277.49%,-13.55%
563,29.92%,270.15%,-14.22%
564,38.39%,407.63%,-17.71%
565,40.55%,448.43%,-15.09%
566,18.23%,130.98%,-24.14%
567,36.16%,368.09%,-10.49%
568,20.27%,151.60%,-18.93%
569,15.37%,104.43%,-19.29%
570,23.47%,186.94%,-14.27%
571,7.96%,46.69%,-39.82%
572,21.95%,169.72%,-17.83%
573,44.33%,526.34%,-32.32%
574,55.83%,818.80%,-9.89%
575,11.23%,70.28%,-29.49%
576,33.43%,322.92%,-13.06%
577,35.88%,363.18%,-12.72%
578,53.94%,764.60%,-25.20%
579,13.90%,91.66%,-34.67%
580,37.09%,384.26%,-15.44%
581,31.42%,291.96%,-16.73%
582,8.64%,51.34%,-43.63%
583,28.78%,254.19%,-16.40%
584,15.13%,102.24%,-32.59%
585,31.42%,291.97%,-16.06%
586,42.33%,484.18%,-15.29%
587,11.11%,69.34%,-23.95%
588,29.23%,260.40%,-19.66%
589,34.30%,336.94%,-18.47%
590,39.82%,434.43%,-16.10%
591,26.84%,228.30%,-12.03%
592,24.24%,196.06%,-34.02%
593,24.19%,195.38%,-28.41%
594,8.87%,52.91%,-31.78%
595,13.00%,84.21%,-20.83%
596,55.39%,806.04%,-19.39%
597,57.14%,858.07%,-9.49%
598,19.94%,148.26%,-30.21%
599,16.18%,111.67%,-16.35%
600,23.12%,182.86%,-21.35%
601,25.66%,213.34%,-15.90%
602,17.27%,121.79%,-26.93%
603,27.03%,230.78%,-19.19%
604,25.40%,210.12%,-14.57%
605,25.28%,208.55%,-15.26%
606,33.58%,325.32%,-18.23%
607,26.74%,226.97%,-22.76%
608,19.50%,143.72%,-22.02%
609,18.51%,133.72%,-13.64%
610,24.95%,204.57%,-20.96%
611,15.67%,107.10%,-19.53%
612,42.53%,488.17%,-11.89%
613,29.52%,264.56%,-26.57%
614,22.15%,171.97%,-30.47%
615,24.69%,201.40%,-18.79%
616,17.51%,124.08%,-17.41%
617,51.90%,708.67%,-13.03%
618,27.56%,237.78%,-11.06%
619,1.02%,5.20%,-24.10%
620,36.52%,374.19%,-17.00%
621,29.94%,270.49%,-20.23%
622,20.46%,153.67%,-29.08%
623,16.61%,115.64%,-11.91%
624,28.68%,252.85%,-13.43%
625,4.45%,24.34%,-35.80%
626,40.35%,444.60%,-9.89%
627,46.03%,564.07%,-16.79%
628,31.56%,294.11%,-19.59%
629,46.85%,582.95%,-8.64%
630,64.81%,1115.94%,-11.21%
631,20.32%,152.16%,-14.71%
632,12.03%,76.48%,-21.53%
633,13.99%,92.49%,-20.44%
634,21.74%,167.42%,-17.68%
635,29.82%,268.71%,-20.38%
636,15.23%,103.11%,-16.51%
637,6.65%,37.96%,-38.82%
638,41.93%,475.98%,-11.89%
639,40.70%,451.40%,-12.95%
640,16.72%,116.67%,-19.44%
641,19.66%,145.31%,-13.90%
642,51.97%,710.53%,-14.70%
643,35.04%,349.09%,-15.41%
644,29.94%,270.41%,-12.45%
645,31.24%,289.31%,-15.47%
646,34.04%,332.64%,-12.50%
647,8.38%,49.56%,-20.03%
648,14.12%,93.59%,-18.67%
649,9.92%,60.45%,-18.90%
650,14.51%,96.90%,-31.52%
651,19.43%,142.98%,-31.46%
652,32.28%,304.96%,-16.58%
653,29.01%,257.38%,-20.55%
654,26.75%,227.09%,-25.69%
655,48.19%,614.61%,-11.97%
656,35.04%,349.03%,-22.73%
657,24.96%,204.73%,-12.77%
658,27.34%,234.89%,-20.41%
659,41.20%,461.27%,-14.85%
660,27.43%,236.03%,-18.86%
661,40.53%,448.18%,-10.35%
662,45.66%,555.63%,-17.05%
663,11.49%,72.29%,-26.84%
664,16.36%,113.32%,-18.94%
665,28.84%,255.07%,-18.39%
666,21.26%,162.15%,-33.04%
667,37.78%,396.56%,-13.50%
668,23.09%,182.51%,-23.55%
669,18.24%,131.13%,-13.44%
670,16.17%,111.60%,-29.28%
671,30.85%,283.64%,-10.84%
672,37.56%,392.52%,-14.86%
673,12.42%,79.56%,-19.76%
674,61.31%,992.23%,-7.82%
675,32.05%,301.53%,-11.08%
676,19.24%,141.05%,-13.94%
677,20.06%,149.50%,-19.79%
678,21.73%,167.25%,-23.71%
679,40.94%,456.19%,-15.95%
680,52.84%,733.94%,-16.69%
681,32.82%,313.32%,-32.75%
682,22.51%,175.93%,-18.73%
683,41.23%,461.87%,-26.32%
684,29.62%,265.87%,-17.26%
685,21.61%,165.96%,-17.82%
686,25.23%,207.94%,-13.99%
687,33.47%,323.61%,-19.18%
688,55.34%,804.45%,-17.26%
689,20.73%,156.48%,-18.97%
690,27.26%,233.80%,-13.05%
691,22.10%,171.34%,-25.38%
692,25.51%,211.43%,-21.06%
693,14.07%,93.13%,-27.29%
694,19.45%,143.16%,-33.30%
695,25.20%,207.65%,-29.56%
696,16.10%,110.97%,-22.38%
697,23.88%,191.72%,-20.77%
698,30.47%,278.09%,-19.16%
699,26.13%,219.21%,-24.48%
700,22.10%,171.41%,-19.30%
701,25.28%,208.61%,-15.91%
702,42.58%,489.26%,-10.34%
703,38.03%,401.11%,-14.42%
704,36.90%,380.80%,-12.57%
705,38.92%,417.32%,-9.42%
706,22.93%,180.73%,-19.24%
707,54.60%,783.15%,-9.59%
708,21.97%,169.95%,-22.60%
709,44.10%,521.31%,-11.92%
710,27.66%,239.09%,-12.89%
711,14.25%,94.66%,-13.92%
712,47.07%,587.98%,-9.72%
713,39.53%,428.90%,-8.24%
714,18.22%,130.92%,-19.71%
715,24.37%,197.62%,-21.74%
716,15.79%,108.16%,-25.85%
717,15.08%,101.81%,-16.77%
718,9.72%,59.04%,-25.71%
719,31.19%,288.64%,-12.39%
720,15.74%,107.69%,-12.97%
721,49.37%,643.57%,-13.14%
722,12.18%,77.69%,-28.36%
723,19.61%,144.77%,-20.46%
724,17.72%,126.04%,-17.81%
725,30.98%,285.48%,-16.74%
726,49.46%,645.77%,-12.29%
727,29.38%,262.48%,-9.62%
728,24.08%,194.15%,-17.25%
729,29.67%,266.57%,-16.93%
730,13.69%,89.97%,-23.53%
731,43.42%,506.74%,-9.39%
732,24.58%,200.09%,-21.78%
733,55.90%,820.85%,-14.30%
734,30.49%,278.32%,-22.68%
735,22.71%,178.22%,-20.56%
736,33.47%,323.52%,-10.16%
737,38.33%,406.52%,-8.05%
