路径编号,5年总收益率,年化收益率,最大回撤,20万终值(万)
302,1214.3%,67.4%,-11.2%,262.9
303,3045.7%,99.3%,-6.9%,629.1
304,896.8%,58.4%,-24.1%,199.4
305,420.4%,39.1%,-20.3%,104.1
306,856.9%,57.1%,-10.3%,191.4
307,735.5%,52.9%,-22.1%,167.1
308,714.5%,52.1%,-17.8%,162.9
309,617.5%,48.3%,-13.2%,143.5
310,512.7%,43.7%,-16.5%,122.5
311,325.8%,33.6%,-14.2%,85.2
312,341.5%,34.6%,-12.8%,88.3
313,515.5%,43.8%,-13.2%,123.1
314,532.7%,44.6%,-15.0%,126.5
315,1035.6%,62.6%,-19.5%,227.1
316,635.2%,49.0%,-17.9%,147.0
317,1206.3%,67.2%,-10.3%,261.3
318,478.6%,42.1%,-10.3%,115.7
319,910.7%,58.8%,-10.3%,202.1
320,1184.6%,66.6%,-34.0%,256.9
321,1200.3%,67.0%,-10.4%,260.1
322,638.1%,49.1%,-21.3%,147.6
323,1377.3%,71.4%,-10.3%,295.5
324,796.6%,55.1%,-10.3%,179.3
325,1983.8%,83.6%,-10.3%,416.8
326,1377.5%,71.4%,-10.3%,295.5
327,808.3%,55.5%,-13.3%,181.7
328,633.2%,49.0%,-12.3%,146.6
329,1133.4%,65.3%,-17.1%,246.7
330,1075.1%,63.7%,-19.5%,235.0
331,912.2%,58.9%,-16.5%,202.4
332,1033.4%,62.5%,-10.3%,226.7
333,524.9%,44.3%,-17.5%,125.0
334,1522.2%,74.6%,-10.3%,324.4
335,572.2%,46.4%,-30.2%,134.4
336,572.5%,46.4%,-13.3%,134.5
337,1688.1%,78.0%,-10.3%,357.6
338,519.5%,44.0%,-14.1%,123.9
339,316.7%,33.0%,-15.0%,83.3
340,1005.2%,61.7%,-10.4%,221.0
341,1257.4%,68.5%,-10.3%,271.5
342,417.4%,38.9%,-21.0%,103.5
343,437.8%,40.0%,-10.3%,107.6
344,533.9%,44.7%,-13.8%,126.8
345,1588.7%,76.0%,-10.3%,337.7
346,644.6%,49.4%,-23.2%,148.9
347,780.2%,54.5%,-14.6%,176.0
348,1433.4%,72.6%,-10.3%,306.7
349,1872.7%,81.6%,-10.3%,394.5
350,801.5%,55.2%,-19.5%,180.3
351,633.9%,49.0%,-16.5%,146.8
352,436.9%,40.0%,-16.8%,107.4
353,912.0%,58.9%,-10.9%,202.4
354,829.9%,56.2%,-17.4%,186.0
355,2101.0%,85.6%,-16.7%,440.2
356,1443.3%,72.9%,-10.3%,308.7
357,388.3%,37.3%,-21.8%,97.7
358,686.9%,51.1%,-18.3%,157.4
359,839.2%,56.5%,-12.2%,187.8
360,759.2%,53.8%,-13.6%,171.8
361,455.6%,40.9%,-16.6%,111.1
362,1041.6%,62.7%,-15.0%,228.3
363,1060.3%,63.3%,-16.9%,232.1
364,3130.4%,100.4%,-16.5%,646.1
365,640.9%,49.3%,-16.5%,148.2
366,887.1%,58.1%,-17.9%,197.4
367,881.5%,57.9%,-13.6%,196.3
368,1026.5%,62.3%,-10.3%,225.3
369,1522.2%,74.6%,-15.8%,324.4
370,1616.4%,76.6%,-10.4%,343.3
371,625.1%,48.6%,-10.3%,145.0
372,268.3%,29.8%,-22.2%,73.7
373,1052.1%,63.0%,-6.9%,230.4
374,378.8%,36.8%,-25.4%,95.8
375,1054.8%,63.1%,-13.2%,231.0
376,1075.9%,63.7%,-10.3%,235.2
377,2334.6%,89.4%,-6.9%,486.9
378,1022.7%,62.2%,-6.9%,224.5
379,1032.5%,62.5%,-16.5%,226.5
380,432.3%,39.7%,-21.3%,106.5
381,993.7%,61.4%,-6.9%,218.7
382,570.0%,46.3%,-13.1%,134.0
383,592.1%,47.2%,-17.3%,138.4
384,831.4%,56.3%,-16.5%,186.3
385,618.7%,48.4%,-21.1%,143.7
386,710.8%,52.0%,-15.1%,162.2
387,1325.1%,70.1%,-25.1%,285.0
388,351.9%,35.2%,-16.5%,90.4
389,964.3%,60.5%,-13.2%,212.9
390,231.5%,27.1%,-16.3%,66.3
391,558.1%,45.8%,-21.4%,131.6
392,744.6%,53.2%,-11.0%,168.9
393,1345.8%,70.6%,-11.0%,289.2
394,597.9%,47.5%,-13.2%,139.6
395,922.3%,59.2%,-10.3%,204.5
396,284.7%,30.9%,-21.4%,76.9
397,1733.1%,78.9%,-10.3%,366.6
398,475.3%,41.9%,-14.9%,115.1
399,900.6%,58.5%,-13.3%,200.1
400,740.7%,53.1%,-10.9%,168.1
401,1389.5%,71.6%,-16.2%,297.9
402,589.1%,47.1%,-21.6%,137.8
403,694.0%,51.3%,-16.5%,158.8
404,534.3%,44.7%,-16.5%,126.9
405,1280.9%,69.1%,-9.0%,276.2
406,426.3%,39.4%,-12.9%,105.3
407,764.8%,54.0%,-7.3%,173.0
408,1238.1%,68.0%,-10.3%,267.6
409,755.3%,53.6%,-10.3%,171.1
410,650.3%,49.6%,-19.6%,150.1
411,1170.9%,66.3%,-10.8%,254.2
412,1047.3%,62.9%,-10.3%,229.5
413,643.6%,49.4%,-11.5%,148.7
414,721.2%,52.4%,-10.6%,164.2
415,530.8%,44.5%,-13.3%,126.2
416,658.6%,50.0%,-23.0%,151.7
417,334.1%,34.1%,-19.2%,86.8
418,368.0%,36.2%,-18.1%,93.6
419,536.3%,44.8%,-24.1%,127.3
